parameter_A,parameter_B,channels,n_channels
TOPSIN_ET_lkg_C300pf,MEASURE_ET_DC_RF_Vbon_min,A_high_x_high,1
TOPSIN_ET_lkg_C450pf,MEASURE_ET_DC_RF_Vbon_min,A_high_x_high,1
MEASURE_ET_DC_RF_Vbon_min,TOPSIN_ET_lkg_Cap2,A_high_x_high,1
MEASURE_ET_DC_RF_Vbon_min,TOPSIN_ET_lkg_Cap3,A_high_x_high,1
TOPSIN_ET_lkg_CapFICM1,MEASURE_ET_DC_RF_Vbon_min,A_high_x_high,1
TOPSIN_ET_lkg_CapPARCAP,MEASURE_ET_DC_RF_Vbon_min,A_high_x_high,1
TOPSIN_ET_lkg_Cap_USV,MEASURE_ET_DC_RF_Vbon_min,A_high_x_high,1
MEASURE_ET_DC_RF_Vbon_min,TOPSIN_ET_lkg_SY07_10,A_high_x_high,1
TOPSIN_ET_lkg_SY8_80,MEASURE_ET_DC_RF_Vbon_min,A_high_x_high,1
TOPSIN_ET_sh_GA144,MEASURE_ET_DC_RF_Vbon_min,A_high_x_high,1
TOPSIN_ET_sh_f_tn_23,MEASURE_ET_DC_RF_Vbon_min,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_RF_Vt_gd,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_Ids_min_ON,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_SD3p5,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_S_Vg_at_I1_neg,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_Vbin_gs,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_Vgs_0p1V,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_Vgs_0p5V,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_Vp_1mA,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_X_Bin,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_neg_FPSD3p2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_X_Vboff_Id,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_SD3p5,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_X_Vg_at_I3_pos,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SMALL_Ids_m0p2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SMALL_Imax,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SMALL_Vbgs_0p01,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SMALL_Vdg_max_0p1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SMALL_Vg_gm_max,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_SMALL_Vg_max_Vd,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_Stress_Id_max_Ig_after,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_Stress_Id_stress_after,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_Stress_Id_stress_before,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_DC_Stress_Vp_after,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_HIRS,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_LT_SEC_Id_min_mA_mm,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_LT_SEC_Vbgd1_Vd3,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_LT_SEC_Vg_Id_min,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Load_Pull_GL_set,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Load_Pull_Gss,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Load_Pull_Pout_W_last,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Load_Pull_Pout_W_mm_last,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_R414,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_RF_Modeling_Cgd_err,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_RF_Modeling_Fmax,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_RF_Modeling_Ft,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_RF_Modeling_Gm,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_RF_Modeling_K,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_RF_Modeling_Ls,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_RF_Modeling_Mag_d,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_RF_Modeling_S12ang_10GHz,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_RF_Modeling_S21_25G_Before,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_RF_Modeling_S22ang_10GHz,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_RF_Modeling_S22dB_10GHz,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_RF_Modeling_Vth,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_RGAN1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_RGAN2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_R_f_hr_3,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Rc_OG142_GN,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Rc_OG144,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Rc_an_ct2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Rc_an_ct2_OW_CR,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Rc_cat_ct2_OW_ST,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Rc_f_tn_23,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Rcat_cn_1_OW_ST,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Rcat_cn_2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Rcat_cn_3,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_USV_Cappf,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_USV_Cappf_0,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_VIA_KLV,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Vbkdn_Cap100,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Vbkdn_Cap100_Long,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_Vbpin,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_10,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_100,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_100_at20V,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_5,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_50,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_50_at20V,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_70,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_70_at20V,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_C300,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_C300pf,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_C385pf,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_Cap1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_CapFICBRGM,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_CapFICM1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_CapPARCAP,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_Cap_USV,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_PAD_10,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MEASURE_ET_lkg_USV_Cap,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MESA_ET_Vbkd,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,MaskSetSupplyChipsCount,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,OHMIC_ET_OHMC,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,OHMIC_ET_R114,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,OHMIC_ET_R314,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,OHMIC_ET_Ran_con_1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,OHMIC_ET_Ran_con_3,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,OHMIC_ET_Rc_OG142,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,OHMIC_ET_Rc_an_ct2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,OHMIC_ET_Rsh_an_ct2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,OHMIC_ET_lkg_5,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,OHMIC_ET_sh_GA142,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_CAPACITOR_ThicknessGN1_SiN_Thickness,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_DC_RF_Gm_0,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_DC_RF_Ids_m0p2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_DC_RF_Idss,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_DC_RF_Vbgd_0p1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_DC_RF_Vbgs_0p01,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_DC_RF_Vbin_gd,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_DC_RF_Vbin_gs,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_DC_RF_Vdg_max_0p1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_DC_RF_Vdg_max_0p1mA,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_DC_RF_Vg_gm_max,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_DC_RF_Vg_max_Vd,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_DC_RF_Vg_max_Vd_0p1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_DC_RF_Vg_optt1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_DC_RF_Vp_1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_DC_RF_Vt_gd,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_Probe_Number,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_TR_1F,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_lkg_SY07_10,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_ET_lkg_SY8_80,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_GATE_ET_RGAN2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_GATE_ET_Ran_con_2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_GATE_ET_Rc_OG142_GN,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_GATE_ET_Rc_an_ct2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_GATE_ET_lkg_5,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_GATE_ET_lkg_SY8_80,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TFRP_ET_Rc_TF_AB_2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TFRP_ET_Rsh_TFR2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_C100,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_C200_0,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_C20_0,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_C_AN_2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_DC_RF_Gm_max,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_DC_RF_Id_gm_max,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_DC_RF_Imax,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_DC_RF_Vbgs1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_DC_RF_Vbgs_0p1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_DC_RF_Vdg_max,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_DC_RF_Vg_max_Vd,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_DC_RF_Vg_max_Vd_0p1mA,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_DC_RF_Vg_optt1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_DC_RF_Vg_optt2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_DC_RF_Vg_optt3,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_DC_RF_Vp_1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_DC_RF_n_gd,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_DC_RF_n_gs,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_HIRS,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_KLV_F_AB_4u,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_R314,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_R_4000_HOR,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_R_f_hr_1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_R_f_hr_3,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_Ran_con_1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_Ran_con_2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_Ran_con_2_OW_CR,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_Ran_con_3_OW_CR,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_Rc_OG142,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_Rc_TF_AB_2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_Rc_an_ct2_OW_CR,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_Rc_cat_ct2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_Rc_f_hr_23,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_Rcat_cn_1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_Rcat_cn_1_OW_ST,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_Rcat_cn_3,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_Rsh_an_ct2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_Rsh_cat_c2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_TANR,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_TF_AB_1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_TF_AB_2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_i5021_1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_i5021_3,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_lkg_10,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_lkg_100_at20V,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_lkg_5,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_lkg_C200,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_lkg_PAD_10,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,THIN_ET_sh_f_hr_23,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_C100Cap1pf,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_C100Cap2pf,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_C100CapFICM1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_C100CapPARCAP,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_C100CapUSV,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_C300,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_C300pf,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_Cap1pf,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_Cap2pf,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_Cap3pf,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_Cap3pf_0,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_CapFICBRGM,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_CapFICM1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_CapFICM1_0,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_CapPARCAP,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_CapPARCAP_0,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_CapUSV_0,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_Cap_C300,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_Cap_USV,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_PIV_Drain_Lag_0,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_PIV_Ids0_QP3,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_PIV_Ids1_QP1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_RF_Idss,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_RF_Imax,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_RF_Vbgd1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_RF_Vbgs1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_RF_Vbgs_0p1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_RF_Vboff,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_RF_Vds_max,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_RF_Vg_gm_max,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_RF_Vg_max_Vd,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_RF_Vg_optt,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_RF_Vp_01,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_RF_Vt_gd,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_RF_n_gs,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_SMALL_Vbgd1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_SMALL_Vbgd_0p1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_SMALL_Vbgs1,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_SMALL_Vdg_max,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_DC_SMALL_Vg_gm_max,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_Gate_res,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_Gm_m2,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_Gm_max,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_I_5,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_KLV_F_AB_4u,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_Load_Pull_Id_ini,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_Load_Pull_P.A.E_Last,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_OHMC,A_high_x_high,1
MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_R114,A_high_x_high,1
